site_name,site_id,trap_type,site_dep,lat,long,depth_m
Grocery Ledge West,GLW,GT,GLW-GT,N 24°48.9551',W 080°38.6210',39.6
Grocery Ledge West,GLW,ML,GLW-ML,N 24°48.9619',W 080°38.6205',39.6
Grocery Ledge Patch,GLP,GT,GLP-GT,N 24°49.0455',W 080°38.5158',42.7
Grocery Ledge Patch,GLP,ML,GLP-ML,N 24°49.0450',W 080°38.5130',42.7
Higher,HI,GT,HI-GT,N 24°49.3453',W 080°38.2737',42.7
Higher,HI,ML,HI-ML,N 24°49.3420',W 080°38.2699',42.7
Billy Wishes,BW,GT,BW-GT,N 24°49.0390',W 080°38.6410',38.4
Billy Wishes,BW,ML,BW-ML,N 24°49.0434',W 080°38.6348',38.4
Max Claws West,MCW,GT,MCW-GT,N 24°49.2843' ,W 080°38.3442',42.1
Max Claws West,MCW,ML,MCW-ML,N 24°49.2885',W 080°38.3302',42.1
Buccees,BC,GT,BC-GT,N 24°49.4161',W 080°38.2004',39.6
Buccees,BC,ML,BC-ML,N 24°49.4104',W 080°38.1868',39.6
Grocery Ledge West,GLW,GT,GLW-GT,N 24°48.9610',W 080°38.5934',42.7
Grocery Ledge West,GLW,ML,GLW-ML,N 24°48.9658',W 080°38.5954',42.7
Higher ,HI,GT,HI-GT,N 24°49.3408',W 080°38.2750',42.9
Higher ,HI,ML,HI-ML,N 24°49.3430',W 080°38.2730',42.9
Billy Wishes ,BW,GT,BW-GT,N 24°49.0420',W 080°38.6419',40.5
Billy Wishes,BW,ML,BW-ML,N 24°49.0476',W 080°38.6482',40.5
124 Reef,124R,GT,124R-GT,N 24°55.9909',W 080°28.4219',37.7
124 Reef,124R,ML,124R-ML,N 24°55.9847',W 080°28.4294',37.7
Key Largo Site #1 ,KL1,GT,KL1-GT,N 24°58.6696',W 080°24.2229',46.3
Key Largo Site #1,KL1,ML,KL1-ML,N 24°58.6625',W 080°24.2322',46.3
Key Largo Site #2,KL2,GT,KL2-GT,N 24°58.7981',W 080°24.0093',46.3
Key Largo Site #2,KL2,ML,KL2-ML,N 24°58.7965',W 080°23.9974',46.3
Key Largo Site #3,KL3,GT,KL3-GT,N 24°58.8366',W 080°23.9099',46.6
Key Largo Site #3,KL3,ML,KL3-ML,N 24°58.8336',W 080°23.9118',46.6
BL Sailboat ,BLS,GT,BLS-GT,N 24°47.2532',W 080°41.1466',39.6
BL Sailboat ,BLS,ML,BLS-ML,N 24°47.2554',W 080°41.1492',39.6
134 FAD,134F,GT,134F-GT,N 24°45.9978',W 080°42.5332',39.1
134 FAD,134F,ML,134F-ML,N 24°45.9996',W 080°42.5401',39.1
Sahara ,SA,GT,SA-GT,N 24°44.6371',W 080°45.8371',33.5
Sahara,SA,ML,SA-ML,N 24°44.6406' ,W 080°45.8400',33.5
Ghost Lobster,GL,GT,GL-GT,N 24°43.3980',W 080°46.9925',43.9
Ghost Lobster,GL,ML,GL-ML,N 24°43.3953',W 080°46.9977',43.9
In Between Cannabis and GL ,CGL,GT,CGL-GT,N 24°49.4299' ,W 080°38.4749',37.1
In Between Cannabis and GL ,CGL,ML,CGL-ML,N 24°49.4294',W 080°38.4868',37.1
Luke's Arrow Crab,LAC,GT,LAC-GT,N 24°49.2568',W 080°38.7436',34.4
Luke's Arrow Crab ,LAC,ML,LAC-ML,N 24°49.2486',W 080°38.7577',34.4
Spaceship ,SS,GT,SS-GT,N 24°49.0840',W 080°38.6966',39.1
Spaceship ,SS,ML,SS-ML,N 24°49.0880',W 080°38.7034',39.1
Engine ,EG,GT,EG-GT,N 24°49.4492',W 080°38.5606',33.8
Engine ,EG,ML,EG-ML,N 24°49.4409',W 080°38.5737',33.8
Drop Deep ,DD,GT,DD-GT,N 24°51.6026',W 080°34.9736',35.7
Drop Deep ,DD,ML,DD-ML,N 24°51.6073',W 080°34.9622',35.7
Alligator East ,AE,GT,AE-GT,N 24°50.7415',W 080°36.6058',31.7
Alligator East ,AE,ML,AE-ML,N 24°50.7437',W 080°36.6090',31.7
Alligator West,AW,GT,AW-GT,N 24°50.4839' ,W 080°37.0613',32.1
Alligator West ,AW,ML,AW-ML,N 24°50.4780',W 080°37.0636',32.1
Coral Drop ,CD,GT,CD-GT,N 24°51.6814',W 080°35.0879',31.1
Coral Drop,CD,ML,CD-ML,N 24°51.7040',W 080°35.0575',31.1
105 Reef ,105R,GT,105R-GT,N 24°53.6745,W 080°32.1029',30.8
105 Reef,105R,ML,105R-ML,N 24°53.6730,W 080°32.0964',30.8
Tim's Mutton West,TMW,GT,TMW-GT,N 24°57.8444',W 080°26.0851',35.9
Tim's Mutton West,TMW,ML,TMW-ML,N 24°57.8370',W 080°26.0928',35.9
Tim's Mutton East,TME,GT,TME-GT,N 24°57.9938,W 080°25.7593',32.9
Tim's Mutton East ,TME,ML,TME-ML,N 24°58.0067',W 080°25.7572',32.9
The Crane ,TC,GT,TC-GT,N 24°59.2286',W 080°22.4162',35.7
The Crane ,TC,ML,TC-ML,N 24°59.2368',W 080°22.4082',35.7
Lots Lions,LL,GT,LL-GT,N 24°44.4777',W 080°46.3781',30.7
Lots Lions,LL,ML,LL-ML,N 24°44.4894' ,W 080°46.3710',30.7
Jawfish Spawn,JS,GT,JS-GT,N 24°43.7870', W 080°47.1720',36.5
Jawfish Spawn,JS,ML,JS-ML,N 24°43.7980',W 080°47.1700',36.5
Grey Spot,GS,GT,GS-GT,N 24°43.6679',W 080°47.7677',34.4
Grey Spot,GS,ML,GS-ML,N 24°43.6621' ,W 080°47.7640',34.4
Big Head Todd,BHT,GT,BHT-GT,N 24°43.5814',W 080°48.1465',33.8
Big Head Todd,BHT,ML,BHT-ML,N 24°43.5792',W 080°48.1548',33.8
Off Day West,ODW,GT,ODW-GT,N 24°55.1849',W 080°29.4464',39.6
Off Day West ,ODW,ML,ODW-ML,N 24°55.1928',W 080°29.4564',39.6
Off Day East ,ODE,GT,ODE-GT,N 24°55.0810',W 080°29.6920',35.9
Off Day East ,ODE,ML,ODE-ML,N 24°55.0776',W 080°29.6994',35.9
Teddy Black ,TB,GT,TB-GT,N 24°54.8368',W 080°29.9893',33.2
